Date,Open,High,Low,Close,Adj Close,Volume
2015-08-27,170.850006,172.449997,169.199997,171.149994,159.616730,126388
2015-08-28,172.000000,172.050003,168.300003,170.500000,159.010529,59978
2015-08-31,169.949997,169.949997,165.649994,166.699997,155.466614,80455
2015-09-01,164.850006,164.949997,160.850006,161.949997,151.036697,88884
2015-09-02,162.000000,163.100006,159.500000,159.500000,148.751801,110567
2015-09-03,160.850006,165.449997,160.850006,164.399994,153.321609,72682
2015-09-04,162.000000,163.000000,159.600006,159.949997,149.171463,100289
2015-09-07,162.149994,162.649994,161.050003,161.149994,150.290588,23893
2015-09-08,163.199997,166.600006,163.199997,165.399994,154.254196,60491
2015-09-09,169.449997,172.149994,169.199997,169.600006,158.171188,106074
2015-09-10,167.000000,169.649994,165.899994,166.899994,155.653122,75514
2015-09-11,167.399994,167.399994,165.149994,166.250000,155.046936,39165
2015-09-14,166.199997,168.300003,163.899994,165.500000,154.347473,31878
2015-09-15,166.850006,168.000000,165.350006,166.850006,155.606491,41889
2015-09-16,168.449997,169.399994,166.250000,167.500000,156.212708,58404
2015-09-17,168.199997,169.050003,167.000000,167.399994,156.119431,60618
2015-09-18,167.399994,167.399994,160.199997,161.350006,150.477142,112750
2015-09-21,140.949997,143.649994,126.699997,133.699997,124.690376,1496789
2015-09-22,132.649994,132.649994,105.000000,111.199997,103.706581,3058738
2015-09-23,111.550003,123.599998,102.199997,118.900002,110.887703,2381323
2015-09-24,124.000000,125.599998,117.000000,118.900002,110.887703,1542875
2015-09-25,123.000000,123.500000,112.400002,115.550003,107.763451,880779
2015-09-28,114.199997,114.500000,105.000000,107.099998,99.882874,865427
2015-09-29,105.000000,108.599998,102.000000,103.300003,96.338943,513701
2015-09-30,108.300003,109.500000,104.000000,104.949997,97.877754,416515
2015-10-01,108.650002,110.199997,102.750000,105.050003,97.971008,477764
2015-10-02,105.849998,106.300003,100.000000,101.150002,94.333817,588727
2015-10-05,101.349998,104.250000,95.000000,102.800003,95.872635,754773
2015-10-06,103.500000,107.550003,99.199997,106.900002,99.696342,422398
2015-10-07,109.050003,117.699997,108.900002,114.900002,107.157249,777374
2015-10-08,116.000000,121.199997,114.349998,116.199997,108.369644,718094
