Date,Open,High,Low,Close,Adj Close,Volume
2015-07-17,27.450001,27.450001,27.336000,27.403999,24.888983,1400
2015-07-20,27.360001,27.740000,27.360001,27.450001,24.930765,32300
2015-07-21,27.440001,27.440001,27.330000,27.410000,24.894430,4900
2015-07-22,27.250000,27.250000,26.801001,27.139999,24.649210,24900
2015-07-23,27.200001,27.270000,27.160000,27.195000,24.699162,1500
2015-07-24,27.110001,27.120001,26.719999,26.719999,24.267757,9900
2015-07-27,26.629999,26.660000,26.340000,26.410000,23.986208,7200
2015-07-28,26.760000,26.799999,26.600000,26.740000,24.285921,6200
2015-07-29,26.860001,26.860001,26.629999,26.670000,24.222347,14200
2015-07-30,26.690001,26.690001,26.290001,26.500000,24.067949,3600
2015-07-31,26.799999,26.930000,26.750000,26.750000,24.295006,15600
2015-08-03,26.870001,27.100000,26.870001,26.959999,24.485731,2200
2015-08-04,27.010000,27.160000,26.995001,26.995001,24.517521,1900
2015-08-05,27.350000,27.354000,27.240000,27.299999,24.794527,1800
2015-08-06,27.209999,27.340000,27.209999,27.250000,24.749117,3800
2015-08-07,27.170000,27.250000,27.097000,27.250000,24.749117,1800
2015-08-10,27.420000,27.590000,26.879999,27.590000,25.057913,6900
2015-08-11,27.160000,27.160000,26.872000,26.950001,24.476650,5800
2015-08-12,26.719999,26.719999,26.330999,26.660000,24.213263,23700
2015-08-13,26.780001,26.780001,26.440001,26.549999,24.113358,17100
2015-08-14,26.450001,26.486000,26.389000,26.486000,24.055231,2800
2015-08-17,26.200001,26.299999,26.049999,26.299999,23.886301,4500
2015-08-18,26.100000,26.100000,25.920000,25.972000,23.588408,7300
2015-08-19,25.490000,25.730000,25.490000,25.730000,23.368614,1200
2015-08-20,25.370001,25.520000,24.990000,25.000000,22.705612,31800
2015-08-21,24.860001,25.233999,24.497999,24.552000,22.298727,6200
2015-08-24,23.350000,24.610001,22.850000,24.219999,21.997196,18700
2015-08-25,24.780001,25.115999,24.320000,24.360001,22.124350,36600
2015-08-26,24.826000,24.879999,24.450001,24.840000,22.560295,9500
2015-08-27,25.040001,25.190001,24.966000,25.083000,22.780993,2100
2015-08-28,24.950001,24.950001,24.716999,24.879999,22.596624,14000
2015-08-31,24.670000,24.874001,24.610001,24.874001,22.591177,1900
2015-09-01,24.400000,24.400000,24.120001,24.240000,22.015360,17200
2015-09-02,24.440001,24.476000,24.440001,24.469999,22.224251,1400
2015-09-03,24.799999,24.799999,24.590000,24.590000,22.333239,2600
2015-09-04,24.128000,24.149000,24.010000,24.129999,21.915455,8500
2015-09-08,24.660000,24.931999,24.660000,24.930000,22.642035,4600
2015-09-09,25.320000,25.320000,24.841999,24.841999,22.562111,3100
2015-09-10,24.840000,24.900000,24.695000,24.900000,22.614786,1000
2015-09-11,24.754000,24.816999,24.754000,24.816999,22.539406,400
2015-09-14,24.770000,24.841000,24.680000,24.841000,22.561203,1600
2015-09-15,24.760000,24.902000,24.760000,24.902000,22.616606,1200
2015-09-16,25.010000,25.010000,24.940001,24.950001,22.660200,1500
2015-09-17,25.150000,25.430000,24.950001,25.430000,23.096149,1900
2015-09-18,24.400000,24.430000,24.150000,24.150000,21.933619,3100
2015-09-21,24.110001,24.139999,23.952000,23.952000,21.753792,4100
2015-09-22,23.350000,23.350000,22.981001,23.150000,21.025393,19200
2015-09-23,23.420000,23.420000,23.061001,23.230000,21.098053,3500
2015-09-24,22.870001,23.160000,22.813999,23.049999,20.934572,12700
2015-09-25,23.480000,23.480000,23.200001,23.228001,21.096239,9200
2015-09-28,23.010000,23.059999,22.830000,22.889999,20.789259,4500
2015-09-29,22.770000,23.030001,22.770000,22.993999,20.883711,2000
2015-09-30,23.330000,23.430000,23.209999,23.267000,21.131659,1100
2015-10-01,23.360001,23.360001,22.790001,23.010000,20.898245,46000
2015-10-02,22.940001,23.430000,22.930000,23.430000,21.279699,1100
2015-10-05,23.796000,23.870001,23.670000,23.850000,21.661152,5800
2015-10-06,23.840000,24.090000,23.840000,24.079000,21.869137,4200
2015-10-07,24.360001,24.379999,24.205999,24.230000,22.006277,2800
2015-10-08,24.247000,24.520000,24.240999,24.466999,22.221527,10400
2015-10-09,24.740000,24.760000,24.620001,24.690001,22.424063,6600
2015-10-12,24.700001,24.780001,24.700001,24.780001,22.505802,800
2015-10-13,24.520000,24.658001,24.520000,24.650000,22.387730,1600
2015-10-14,24.700001,24.700001,24.430000,24.493999,22.246046,700
2015-10-15,24.570000,24.698999,24.570000,24.698999,22.432238,1600
2015-10-16,24.770000,24.770000,24.650000,24.763000,22.490360,900
2015-10-19,24.879999,24.879999,24.719999,24.830000,22.551212,1700
2015-10-20,24.874001,24.879000,24.806999,24.809999,22.533049,1400
2015-10-21,25.100000,25.100000,24.879999,24.881001,22.597532,5600
2015-10-22,25.200001,25.311001,25.200001,25.311001,22.988070,2500
2015-10-23,25.700001,25.780001,25.629999,25.740000,23.377699,21200
2015-10-26,25.840000,25.840000,25.700001,25.700001,23.341368,2500
2015-10-27,25.660000,25.660000,25.420000,25.420000,23.087067,1500
2015-10-28,25.590000,25.920000,25.577000,25.600000,23.250546,3500
2015-10-29,25.590000,25.590000,25.420000,25.448000,23.112495,1200
2015-10-30,25.804001,25.804001,25.641001,25.641001,23.287785,1900
2015-11-02,25.959999,26.033001,25.959999,25.993999,23.608385,900
2015-11-03,25.889999,25.900000,25.730000,25.809999,23.441273,2600
2015-11-04,25.780001,25.780001,25.350000,25.360001,23.032570,8200
2015-11-05,25.620001,25.620001,25.420000,25.520000,23.177889,2700
2015-11-06,25.559999,25.559999,25.474001,25.490000,23.150640,1300
2015-11-09,25.420000,25.420000,25.066000,25.162001,22.852745,2900
2015-11-10,25.000000,25.110001,24.959999,25.110001,22.805517,1600
2015-11-11,25.410000,25.410000,25.180000,25.180000,22.869091,2500
2015-11-12,25.070000,25.080000,24.959999,24.959999,22.669281,2500
2015-11-13,24.700001,24.768999,24.700001,24.768999,22.495811,800
2015-11-16,24.770000,24.830000,24.770000,24.830000,22.551212,3000
2015-11-17,25.122999,25.122999,24.930000,24.930000,22.642035,1200
